
[MeshData]

UVêî : 1188

UVî‘çÜ0 : { 0.163101, -0.364505 }
UVî‘çÜ1 : { 0.201119, -0.364781 }
UVî‘çÜ2 : { 0.16209, -0.332123 }
UVî‘çÜ3 : { 0.102083, -0.366517 }
UVî‘çÜ4 : { 0.100962, -0.393071 }
UVî‘çÜ5 : { 0.0762487, -0.369782 }
UVî‘çÜ6 : { 0.0744889, -0.0747739 }
UVî‘çÜ7 : { 0.0601163, -0.03992 }
UVî‘çÜ8 : { 0.0823067, -0.0361871 }
UVî‘çÜ9 : { 0.0711469, -0.21243 }
UVî‘çÜ10 : { 0.0680298, -0.196655 }
UVî‘çÜ11 : { 0.0874504, -0.21272 }
UVî‘çÜ12 : { 0.0874504, -0.21272 }
UVî‘çÜ13 : { 0.109326, -0.207979 }
UVî‘çÜ14 : { 0.101869, -0.223373 }
UVî‘çÜ15 : { 0.102083, -0.366517 }
UVî‘çÜ16 : { 0.114056, -0.330903 }
UVî‘çÜ17 : { 0.128092, -0.362624 }
UVî‘çÜ18 : { 0.25601, -0.36523 }
UVî‘çÜ19 : { 0.201295, -0.337122 }
UVî‘çÜ20 : { 0.257704, -0.339598 }
UVî‘çÜ21 : { 0.421615, -0.335786 }
UVî‘çÜ22 : { 0.471852, -0.352948 }
UVî‘çÜ23 : { 0.419901, -0.36461 }
UVî‘çÜ24 : { 0.0744889, -0.0747739 }
UVî‘çÜ25 : { 0.074223, -0.109438 }
UVî‘çÜ26 : { 0.0542658, -0.105951 }
UVî‘çÜ27 : { 0.0202717, -0.210531 }
UVî‘çÜ28 : { 0.0202717, -0.189068 }
UVî‘çÜ29 : { 0.0440887, -0.189598 }
UVî‘çÜ30 : { 0.0202717, -0.241451 }
UVî‘çÜ31 : { 0.0548434, -0.21214 }
UVî‘çÜ32 : { 0.0429056, -0.238961 }
UVî‘çÜ33 : { 0.0601977, -0.393071 }
UVî‘çÜ34 : { 0.0599609, -0.372932 }
UVî‘çÜ35 : { 0.0736289, -0.393071 }
UVî‘çÜ36 : { 0.0202717, -0.274697 }
UVî‘çÜ37 : { 0.0429056, -0.238961 }
UVî‘çÜ38 : { 0.0339565, -0.272287 }
UVî‘çÜ39 : { 0.128169, -0.22244 }
UVî‘çÜ40 : { 0.101869, -0.223373 }
UVî‘çÜ41 : { 0.109326, -0.207979 }
UVî‘çÜ42 : { 0.148, -0.238754 }
UVî‘çÜ43 : { 0.12098, -0.241198 }
UVî‘çÜ44 : { 0.128169, -0.22244 }
UVî‘çÜ45 : { 0.0866655, -0.267284 }
UVî‘çÜ46 : { 0.0646189, -0.287915 }
UVî‘çÜ47 : { 0.0663998, -0.268296 }
UVî‘çÜ48 : { 0.0202717, -0.342039 }
UVî‘çÜ49 : { 0.0364926, -0.340812 }
UVî‘çÜ50 : { 0.0202717, -0.377482 }
UVî‘çÜ51 : { 0.0532684, -0.14248 }
UVî‘çÜ52 : { 0.0202717, -0.140866 }
UVî‘çÜ53 : { 0.0542658, -0.105951 }
UVî‘çÜ54 : { 0.591898, -0.253718 }
UVî‘çÜ55 : { 0.588347, -0.228808 }
UVî‘çÜ56 : { 0.627523, -0.228808 }
UVî‘çÜ57 : { 0.0751024, -0.24038 }
UVî‘çÜ58 : { 0.0590041, -0.239671 }
UVî‘çÜ59 : { 0.0874504, -0.21272 }
UVî‘çÜ60 : { 0.100962, -0.393071 }
UVî‘çÜ61 : { 0.102083, -0.366517 }
UVî‘çÜ62 : { 0.128508, -0.393071 }
UVî‘çÜ63 : { 0.0699231, -0.334978 }
UVî‘çÜ64 : { 0.0900383, -0.333458 }
UVî‘çÜ65 : { 0.0762487, -0.369782 }
UVî‘çÜ66 : { 0.0932115, -0.240384 }
UVî‘çÜ67 : { 0.0866655, -0.267284 }
UVî‘çÜ68 : { 0.0751024, -0.24038 }
UVî‘çÜ69 : { 0.627523, -0.25258 }
UVî‘çÜ70 : { 0.591898, -0.253718 }
UVî‘çÜ71 : { 0.627523, -0.228808 }
UVî‘çÜ72 : { 0.101869, -0.223373 }
UVî‘çÜ73 : { 0.0932115, -0.240384 }
UVî‘çÜ74 : { 0.0874504, -0.21272 }
UVî‘çÜ75 : { 0.0790461, -0.16884 }
UVî‘çÜ76 : { 0.0604838, -0.18695 }
UVî‘çÜ77 : { 0.0529737, -0.170306 }
UVî‘çÜ78 : { 0.173624, -0.261853 }
UVî‘çÜ79 : { 0.211044, -0.2863 }
UVî‘çÜ80 : { 0.170314, -0.281262 }
UVî‘çÜ81 : { 0.259716, -0.312556 }
UVî‘çÜ82 : { 0.257704, -0.339598 }
UVî‘çÜ83 : { 0.203538, -0.308486 }
UVî‘çÜ84 : { 0.0663998, -0.268296 }
UVî‘çÜ85 : { 0.050178, -0.270291 }
UVî‘çÜ86 : { 0.0751024, -0.24038 }
UVî‘çÜ87 : { 0.519805, -0.295517 }
UVî‘çÜ88 : { 0.56321, -0.261793 }
UVî‘çÜ89 : { 0.56102, -0.292738 }
UVî‘çÜ90 : { 0.0900383, -0.333458 }
UVî‘çÜ91 : { 0.0841918, -0.308182 }
UVî‘çÜ92 : { 0.114056, -0.330903 }
UVî‘çÜ93 : { 0.0843418, -0.286437 }
UVî‘çÜ94 : { 0.0651786, -0.309598 }
UVî‘çÜ95 : { 0.0646189, -0.287915 }
UVî‘çÜ96 : { 0.109326, -0.207979 }
UVî‘çÜ97 : { 0.0874504, -0.21272 }
UVî‘çÜ98 : { 0.0969486, -0.198148 }
UVî‘çÜ99 : { 0.109662, -0.306005 }
UVî‘çÜ100 : { 0.111337, -0.283749 }
UVî‘çÜ101 : { 0.136884, -0.304535 }
UVî‘çÜ102 : { 0.128092, -0.362624 }
UVî‘çÜ103 : { 0.164302, -0.393071 }
UVî‘çÜ104 : { 0.128508, -0.393071 }
UVî‘çÜ105 : { 0.591898, -0.253718 }
UVî‘çÜ106 : { 0.56321, -0.261793 }
UVî‘çÜ107 : { 0.564631, -0.228808 }
UVî‘çÜ108 : { 0.0202717, -0.0818478 }
UVî‘çÜ109 : { 0.0542658, -0.105951 }
UVî‘çÜ110 : { 0.0202717, -0.107251 }
UVî‘çÜ111 : { 0.12098, -0.241198 }
UVî‘çÜ112 : { 0.148, -0.238754 }
UVî‘çÜ113 : { 0.14388, -0.261755 }
UVî‘çÜ114 : { 0.114056, -0.330903 }
UVî‘çÜ115 : { 0.109662, -0.306005 }
UVî‘çÜ116 : { 0.134473, -0.328522 }
UVî‘çÜ117 : { 0.101869, -0.223373 }
UVî‘çÜ118 : { 0.128169, -0.22244 }
UVî‘çÜ119 : { 0.12098, -0.241198 }
UVî‘çÜ120 : { 0.0202717, -0.168491 }
UVî‘çÜ121 : { 0.0532684, -0.14248 }
UVî‘çÜ122 : { 0.0529737, -0.170306 }
UVî‘çÜ123 : { 0.0202717, -0.0143576 }
UVî‘çÜ124 : { 0.0601163, -0.03992 }
UVî‘çÜ125 : { 0.0202717, -0.0424849 }
UVî‘çÜ126 : { 0.203538, -0.308486 }
UVî‘çÜ127 : { 0.170314, -0.281262 }
UVî‘çÜ128 : { 0.211044, -0.2863 }
UVî‘çÜ129 : { 0.0440887, -0.189598 }
UVî‘çÜ130 : { 0.0604838, -0.18695 }
UVî‘çÜ131 : { 0.0548434, -0.21214 }
UVî‘çÜ132 : { 0.627523, -0.337552 }
UVî‘çÜ133 : { 0.59063, -0.286021 }
UVî‘çÜ134 : { 0.627523, -0.285851 }
UVî‘çÜ135 : { 0.56321, -0.261793 }
UVî‘çÜ136 : { 0.546753, -0.263977 }
UVî‘çÜ137 : { 0.564631, -0.228808 }
UVî‘çÜ138 : { 0.0202717, -0.168491 }
UVî‘çÜ139 : { 0.0440887, -0.189598 }
UVî‘çÜ140 : { 0.0202717, -0.189068 }
UVî‘çÜ141 : { 0.0680298, -0.196655 }
UVî‘çÜ142 : { 0.0851736, -0.184393 }
UVî‘çÜ143 : { 0.0969486, -0.198148 }
UVî‘çÜ144 : { 0.0851736, -0.184393 }
UVî‘çÜ145 : { 0.0604838, -0.18695 }
UVî‘çÜ146 : { 0.0790461, -0.16884 }
UVî‘çÜ147 : { 0.0680298, -0.196655 }
