
[MeshData]

ボーンの重み数 : 2718

ボーンの重み頂点番号0 : { 2, 0.821987 } { 3, 0.165592 } { 4, 0.0122139 } { 5, 0.000206832 } 
ボーンの重み頂点番号1 : { 2, 0.87001 } { 3, 0.0448163 } { 4, 0.0812168 } { 5, 0.00395673 } 
ボーンの重み頂点番号2 : { 2, 0.816192 } { 3, 0.170127 } { 4, 0.013447 } { 5, 0.000233531 } 
ボーンの重み頂点番号3 : { 1, 0.557218 } { 2, 0.390394 } { 3, 0.052388 } { 0, 0 } 
ボーンの重み頂点番号4 : { 1, 0.537842 } { 2, 0.410404 } { 3, 0.0517538 } { 0, 0 } 
ボーンの重み頂点番号5 : { 1, 0.425493 } { 2, 0.523543 } { 3, 0.0509637 } { 0, 0 } 
ボーンの重み頂点番号6 : { 1, 0.451273 } { 2, 0.497405 } { 3, 0.0513226 } { 0, 0 } 
ボーンの重み頂点番号7 : { 1, 0.557218 } { 2, 0.390394 } { 3, 0.052388 } { 0, 0 } 
ボーンの重み頂点番号8 : { 1, 0.425493 } { 2, 0.523543 } { 3, 0.0509637 } { 0, 0 } 
ボーンの重み頂点番号9 : { 1, 0.553227 } { 2, 0.394959 } { 3, 0.0518135 } { 0, 0 } 
ボーンの重み頂点番号10 : { 1, 0.552692 } { 2, 0.395405 } { 3, 0.0519036 } { 0, 0 } 
ボーンの重み頂点番号11 : { 1, 0.437487 } { 2, 0.511644 } { 3, 0.0508689 } { 0, 0 } 
ボーンの重み頂点番号12 : { 1, 0.467025 } { 2, 0.48198 } { 3, 0.0509948 } { 0, 0 } 
ボーンの重み頂点番号13 : { 1, 0.553227 } { 2, 0.394959 } { 3, 0.0518135 } { 0, 0 } 
ボーンの重み頂点番号14 : { 1, 0.437487 } { 2, 0.511644 } { 3, 0.0508689 } { 0, 0 } 
ボーンの重み頂点番号15 : { 1, 0.537842 } { 2, 0.410404 } { 3, 0.0517538 } { 0, 0 } 
ボーンの重み頂点番号16 : { 1, 0.553227 } { 2, 0.394959 } { 3, 0.0518135 } { 0, 0 } 
ボーンの重み頂点番号17 : { 1, 0.467025 } { 2, 0.48198 } { 3, 0.0509948 } { 0, 0 } 
ボーンの重み頂点番号18 : { 1, 0.425493 } { 2, 0.523543 } { 3, 0.0509637 } { 0, 0 } 
ボーンの重み頂点番号19 : { 1, 0.537842 } { 2, 0.410404 } { 3, 0.0517538 } { 0, 0 } 
ボーンの重み頂点番号20 : { 1, 0.467025 } { 2, 0.48198 } { 3, 0.0509948 } { 0, 0 } 
ボーンの重み頂点番号21 : { 1, 0.682643 } { 2, 0.317357 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号22 : { 1, 0.689505 } { 2, 0.310495 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号23 : { 1, 0.670816 } { 2, 0.329184 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号24 : { 1, 0.647943 } { 2, 0.352057 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号25 : { 1, 0.682643 } { 2, 0.317357 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号26 : { 1, 0.670816 } { 2, 0.329184 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号27 : { 1, 0.690864 } { 2, 0.309136 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号28 : { 1, 0.671775 } { 2, 0.328225 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号29 : { 1, 0.671478 } { 2, 0.328522 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号30 : { 1, 0.690864 } { 2, 0.309136 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号31 : { 1, 0.682643 } { 2, 0.317357 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号32 : { 1, 0.671775 } { 2, 0.328225 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号33 : { 1, 0.690864 } { 2, 0.309136 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号34 : { 1, 0.671478 } { 2, 0.328522 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号35 : { 1, 0.675675 } { 2, 0.324325 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号36 : { 1, 0.690864 } { 2, 0.309136 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号37 : { 1, 0.688701 } { 2, 0.311299 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号38 : { 1, 0.689505 } { 2, 0.310495 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号39 : { 0, 0.0382733 } { 1, 0.58734 } { 2, 0.374387 } { 0, 0 } 
ボーンの重み頂点番号40 : { 0, 0.0570896 } { 1, 0.562445 } { 2, 0.380466 } { 0, 0 } 
ボーンの重み頂点番号41 : { 0, 0.0142709 } { 1, 0.610334 } { 2, 0.375395 } { 0, 0 } 
ボーンの重み頂点番号42 : { 1, 0.628586 } { 2, 0.371414 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号43 : { 0, 0.0382733 } { 1, 0.58734 } { 2, 0.374387 } { 0, 0 } 
ボーンの重み頂点番号44 : { 0, 0.0142709 } { 1, 0.610334 } { 2, 0.375395 } { 0, 0 } 
ボーンの重み頂点番号45 : { 0, 0.0458209 } { 1, 0.574724 } { 2, 0.379455 } { 0, 0 } 
ボーンの重み頂点番号46 : { 0, 0.0543993 } { 1, 0.562747 } { 2, 0.382854 } { 0, 0 } 
ボーンの重み頂点番号47 : { 0, 0.0839058 } { 1, 0.511504 } { 2, 0.40459 } { 0, 0 } 
ボーンの重み頂点番号48 : { 0, 0.0801527 } { 1, 0.518435 } { 2, 0.401412 } { 0, 0 } 
ボーンの重み頂点番号49 : { 0, 0.0458209 } { 1, 0.574724 } { 2, 0.379455 } { 0, 0 } 
ボーンの重み頂点番号50 : { 0, 0.0839058 } { 1, 0.511504 } { 2, 0.40459 } { 0, 0 } 
ボーンの重み頂点番号51 : { 0, 0.0382733 } { 1, 0.58734 } { 2, 0.374387 } { 0, 0 } 
ボーンの重み頂点番号52 : { 0, 0.0417904 } { 1, 0.582132 } { 2, 0.376078 } { 0, 0 } 
ボーンの重み頂点番号53 : { 0, 0.0789323 } { 1, 0.52126 } { 2, 0.399808 } { 0, 0 } 
ボーンの重み頂点番号54 : { 0, 0.0834445 } { 1, 0.51436 } { 2, 0.402196 } { 0, 0 } 
ボーンの重み頂点番号55 : { 0, 0.0382733 } { 1, 0.58734 } { 2, 0.374387 } { 0, 0 } 
ボーンの重み頂点番号56 : { 0, 0.0789323 } { 1, 0.52126 } { 2, 0.399808 } { 0, 0 } 
ボーンの重み頂点番号57 : { 0, 0.0417904 } { 1, 0.582132 } { 2, 0.376078 } { 0, 0 } 
ボーンの重み頂点番号58 : { 0, 0.0458209 } { 1, 0.574724 } { 2, 0.379455 } { 0, 0 } 
ボーンの重み頂点番号59 : { 0, 0.0801527 } { 1, 0.518435 } { 2, 0.401412 } { 0, 0 } 
ボーンの重み頂点番号60 : { 0, 0.0789323 } { 1, 0.52126 } { 2, 0.399808 } { 0, 0 } 
ボーンの重み頂点番号61 : { 0, 0.0417904 } { 1, 0.582132 } { 2, 0.376078 } { 0, 0 } 
ボーンの重み頂点番号62 : { 0, 0.0801527 } { 1, 0.518435 } { 2, 0.401412 } { 0, 0 } 
ボーンの重み頂点番号63 : { 0, 0.113325 } { 1, 0.450525 } { 2, 0.43615 } { 0, 0 } 
ボーンの重み頂点番号64 : { 0, 0.103924 } { 1, 0.471751 } { 2, 0.424325 } { 0, 0 } 
ボーンの重み頂点番号65 : { 0, 0.102685 } { 1, 0.473884 } { 2, 0.423431 } { 0, 0 } 
ボーンの重み頂点番号66 : { 0, 0.113325 } { 1, 0.450525 } { 2, 0.43615 } { 0, 0 } 
ボーンの重み頂点番号67 : { 0, 0.107866 } { 1, 0.463001 } { 2, 0.429133 } { 0, 0 } 
ボーンの重み頂点番号68 : { 0, 0.106705 } { 1, 0.46613 } { 2, 0.427165 } { 0, 0 } 
ボーンの重み頂点番号69 : { 0, 0.113325 } { 1, 0.450525 } { 2, 0.43615 } { 0, 0 } 
ボーンの重み頂点番号70 : { 0, 0.106705 } { 1, 0.46613 } { 2, 0.427165 } { 0, 0 } 
ボーンの重み頂点番号71 : { 0, 0.103924 } { 1, 0.471751 } { 2, 0.424325 } { 0, 0 } 
ボーンの重み頂点番号72 : { 0, 0.113325 } { 1, 0.450525 } { 2, 0.43615 } { 0, 0 } 
ボーンの重み頂点番号73 : { 0, 0.102685 } { 1, 0.473884 } { 2, 0.423431 } { 0, 0 } 
ボーンの重み頂点番号74 : { 0, 0.104111 } { 1, 0.470672 } { 2, 0.425217 } { 0, 0 } 
ボーンの重み頂点番号75 : { 2, 0.416024 } { 4, 0.583976 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号76 : { 2, 0.422396 } { 4, 0.577604 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号77 : { 2, 0.428437 } { 4, 0.571563 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号78 : { 2, 0.416024 } { 4, 0.583976 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号79 : { 2, 0.438388 } { 4, 0.561612 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号80 : { 2, 0.422396 } { 4, 0.577604 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号81 : { 2, 0.676609 } { 4, 0.0007164 } { 5, 0.322674 } { 0, 0 } 
ボーンの重み頂点番号82 : { 2, 0.637034 } { 4, 0.00013813 } { 5, 0.362828 } { 0, 0 } 
ボーンの重み頂点番号83 : { 2, 0.707586 } { 4, 0.00163984 } { 5, 0.290774 } { 0, 0 } 
ボーンの重み頂点番号84 : { 2, 0.888988 } { 5, 0.111012 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号85 : { 2, 0.881699 } { 5, 0.106289 } { 8, 0.0120125 } { 0, 0 } 
ボーンの重み頂点番号86 : { 2, 0.885344 } { 5, 0.0906317 } { 8, 0.0240242 } { 0, 0 } 
ボーンの重み頂点番号87 : { 2, 0.682167 } { 4, 0.00069308 } { 5, 0.31714 } { 0, 0 } 
