
[MeshData]

ボーンの重み数 : 3810

ボーンの重み頂点番号0 : { 0, 0.05 } { 9, 0.0462627 } { 16, 0.903737 } { 0, 0 } 
ボーンの重み頂点番号1 : { 0, 0.05 } { 17, 0.492011 } { 24, 0.457989 } { 0, 0 } 
ボーンの重み頂点番号2 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号3 : { 0, 0.05 } { 17, 0.492011 } { 24, 0.457989 } { 0, 0 } 
ボーンの重み頂点番号4 : { 0, 0.05 } { 9, 0.0462627 } { 16, 0.903737 } { 0, 0 } 
ボーンの重み頂点番号5 : { 0, 0.05 } { 17, 0.851973 } { 24, 0.0980267 } { 0, 0 } 
ボーンの重み頂点番号6 : { 0, 0.1 } { 8, 0.0658853 } { 15, 0.834115 } { 0, 0 } 
ボーンの重み頂点番号7 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号8 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号9 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号10 : { 0, 0.1 } { 8, 0.0658853 } { 15, 0.834115 } { 0, 0 } 
ボーンの重み頂点番号11 : { 0, 0.05 } { 9, 0.0462627 } { 16, 0.903737 } { 0, 0 } 
ボーンの重み頂点番号12 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号13 : { 0, 0.15 } { 8, 0.276619 } { 15, 0.573381 } { 0, 0 } 
ボーンの重み頂点番号14 : { 0, 0.1 } { 8, 0.0658853 } { 15, 0.834115 } { 0, 0 } 
ボーンの重み頂点番号15 : { 0, 0.15 } { 8, 0.276619 } { 15, 0.573381 } { 0, 0 } 
ボーンの重み頂点番号16 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号17 : { 0, 0.15 } { 15, 0.714646 } { 22, 0.135354 } { 0, 0 } 
ボーンの重み頂点番号18 : { 0, 0.15 } { 15, 0.714646 } { 22, 0.135354 } { 0, 0 } 
ボーンの重み頂点番号19 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号20 : { 0, 0.15 } { 8, 0.276619 } { 15, 0.573381 } { 0, 0 } 
ボーンの重み頂点番号21 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号22 : { 0, 0.15 } { 15, 0.714646 } { 22, 0.135354 } { 0, 0 } 
ボーンの重み頂点番号23 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号24 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号25 : { 0, 0.05 } { 17, 0.492011 } { 24, 0.457989 } { 0, 0 } 
ボーンの重み頂点番号26 : { 0, 0.05 } { 16, 0.170863 } { 23, 0.779137 } { 0, 0 } 
ボーンの重み頂点番号27 : { 0, 0.05 } { 17, 0.492011 } { 24, 0.457989 } { 0, 0 } 
ボーンの重み頂点番号28 : { 0, 0.05 } { 23, 0.903948 } { 30, 0.0460522 } { 0, 0 } 
ボーンの重み頂点番号29 : { 0, 0.05 } { 16, 0.170863 } { 23, 0.779137 } { 0, 0 } 
ボーンの重み頂点番号30 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号31 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号32 : { 0, 0.1 } { 15, 0.266427 } { 22, 0.633573 } { 0, 0 } 
ボーンの重み頂点番号33 : { 0, 0.05 } { 16, 0.5671 } { 23, 0.3829 } { 0, 0 } 
ボーンの重み頂点番号34 : { 0, 0.05 } { 16, 0.170863 } { 23, 0.779137 } { 0, 0 } 
ボーンの重み頂点番号35 : { 0, 0.1 } { 15, 0.266427 } { 22, 0.633573 } { 0, 0 } 
ボーンの重み頂点番号36 : { 0, 0.1 } { 15, 0.266427 } { 22, 0.633573 } { 0, 0 } 
ボーンの重み頂点番号37 : { 0, 0.15 } { 15, 0.465744 } { 22, 0.384256 } { 0, 0 } 
ボーンの重み頂点番号38 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号39 : { 0, 0.15 } { 15, 0.714646 } { 22, 0.135354 } { 0, 0 } 
ボーンの重み頂点番号40 : { 0, 0.1 } { 15, 0.620096 } { 22, 0.279904 } { 0, 0 } 
ボーンの重み頂点番号41 : { 0, 0.15 } { 15, 0.465744 } { 22, 0.384256 } { 0, 0 } 
ボーンの重み頂点番号42 : { 0, 0.15 } { 15, 0.465744 } { 22, 0.384256 } { 0, 0 } 
ボーンの重み頂点番号43 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
ボーンの重み頂点番号44 : { 0, 0.15 } { 15, 0.714646 } { 22, 0.135354 } { 0, 0 } 
ボーンの重み頂点番号45 : { 0, 1 } { 0, 0 } { 0, 0 } { 0, 0 } 
