
[MeshData]

UVêî : 8616

UVî‘çÜ0 : { 0.251871, 0.657018 }
UVî‘çÜ1 : { 0.258581, 0.637255 }
UVî‘çÜ2 : { 0.260835, 0.657018 }
UVî‘çÜ3 : { 0.251871, 0.657018 }
UVî‘çÜ4 : { 0.249937, 0.637255 }
UVî‘çÜ5 : { 0.258581, 0.637255 }
UVî‘çÜ6 : { 0.031913, 0.637255 }
UVî‘çÜ7 : { 0.027518, 0.65321 }
UVî‘çÜ8 : { 0.023688, 0.643329 }
UVî‘çÜ9 : { 0.031913, 0.637255 }
UVî‘çÜ10 : { 0.039573, 0.657018 }
UVî‘çÜ11 : { 0.027518, 0.65321 }
UVî‘çÜ12 : { 0.242118, 0.657018 }
UVî‘çÜ13 : { 0.249937, 0.637255 }
UVî‘çÜ14 : { 0.251871, 0.657018 }
UVî‘çÜ15 : { 0.242118, 0.657018 }
UVî‘çÜ16 : { 0.240557, 0.637255 }
UVî‘çÜ17 : { 0.249937, 0.637255 }
UVî‘çÜ18 : { 0.037484, 0.637255 }
UVî‘çÜ19 : { 0.039573, 0.657018 }
UVî‘çÜ20 : { 0.031913, 0.637255 }
UVî‘çÜ21 : { 0.037484, 0.637255 }
UVî‘çÜ22 : { 0.04388, 0.657018 }
UVî‘çÜ23 : { 0.039573, 0.657018 }
UVî‘çÜ24 : { 0.232365, 0.657018 }
UVî‘çÜ25 : { 0.240557, 0.637255 }
UVî‘çÜ26 : { 0.242118, 0.657018 }
UVî‘çÜ27 : { 0.232365, 0.657018 }
UVî‘çÜ28 : { 0.231177, 0.637255 }
UVî‘çÜ29 : { 0.240557, 0.637255 }
UVî‘çÜ30 : { 0.043054, 0.637255 }
UVî‘çÜ31 : { 0.04388, 0.657018 }
UVî‘çÜ32 : { 0.037484, 0.637255 }
UVî‘çÜ33 : { 0.043054, 0.637255 }
UVî‘çÜ34 : { 0.048188, 0.657018 }
UVî‘çÜ35 : { 0.04388, 0.657018 }
UVî‘çÜ36 : { 0.219685, 0.657018 }
UVî‘çÜ37 : { 0.231177, 0.637255 }
UVî‘çÜ38 : { 0.232365, 0.657018 }
UVî‘çÜ39 : { 0.219685, 0.657018 }
UVî‘çÜ40 : { 0.218477, 0.637255 }
UVî‘çÜ41 : { 0.231177, 0.637255 }
UVî‘çÜ42 : { 0.049383, 0.637255 }
UVî‘çÜ43 : { 0.048188, 0.657018 }
UVî‘çÜ44 : { 0.043054, 0.637255 }
UVî‘çÜ45 : { 0.049383, 0.637255 }
UVî‘çÜ46 : { 0.053857, 0.657018 }
UVî‘çÜ47 : { 0.048188, 0.657018 }
UVî‘çÜ48 : { 0.207006, 0.657018 }
UVî‘çÜ49 : { 0.218477, 0.637255 }
UVî‘çÜ50 : { 0.219685, 0.657018 }
UVî‘çÜ51 : { 0.207006, 0.657018 }
UVî‘çÜ52 : { 0.205777, 0.637255 }
UVî‘çÜ53 : { 0.218477, 0.637255 }
UVî‘çÜ54 : { 0.055711, 0.637255 }
UVî‘çÜ55 : { 0.053857, 0.657018 }
UVî‘çÜ56 : { 0.049383, 0.637255 }
UVî‘çÜ57 : { 0.055711, 0.637255 }
UVî‘çÜ58 : { 0.059527, 0.657018 }
UVî‘çÜ59 : { 0.053857, 0.657018 }
UVî‘çÜ60 : { 0.195025, 0.657018 }
UVî‘çÜ61 : { 0.205777, 0.637255 }
UVî‘çÜ62 : { 0.207006, 0.657018 }
UVî‘çÜ63 : { 0.195025, 0.657018 }
UVî‘çÜ64 : { 0.193869, 0.637255 }
UVî‘çÜ65 : { 0.205777, 0.637255 }
UVî‘çÜ66 : { 0.062027, 0.637255 }
UVî‘çÜ67 : { 0.059527, 0.657018 }
UVî‘çÜ68 : { 0.055711, 0.637255 }
UVî‘çÜ69 : { 0.062027, 0.637255 }
UVî‘çÜ70 : { 0.065147, 0.657018 }
UVî‘çÜ71 : { 0.059527, 0.657018 }
UVî‘çÜ72 : { 0.183045, 0.657018 }
UVî‘çÜ73 : { 0.193869, 0.637255 }
UVî‘çÜ74 : { 0.195025, 0.657018 }
UVî‘çÜ75 : { 0.183045, 0.657018 }
UVî‘çÜ76 : { 0.18196, 0.637255 }
UVî‘çÜ77 : { 0.193869, 0.637255 }
UVî‘çÜ78 : { 0.065147, 0.657018 }
UVî‘çÜ79 : { 0.068343, 0.637255 }
UVî‘çÜ80 : { 0.070767, 0.657018 }
UVî‘çÜ81 : { 0.065147, 0.657018 }
UVî‘çÜ82 : { 0.062027, 0.637255 }
UVî‘çÜ83 : { 0.068343, 0.637255 }
UVî‘çÜ84 : { 0.171547, 0.657018 }
UVî‘çÜ85 : { 0.18196, 0.637255 }
UVî‘çÜ86 : { 0.183045, 0.657018 }
UVî‘çÜ87 : { 0.171547, 0.657018 }
UVî‘çÜ88 : { 0.170604, 0.637255 }
UVî‘çÜ89 : { 0.18196, 0.637255 }
UVî‘çÜ90 : { 0.068343, 0.637255 }
UVî‘çÜ91 : { 0.079247, 0.657018 }
UVî‘çÜ92 : { 0.070767, 0.657018 }
UVî‘çÜ93 : { 0.068343, 0.637255 }
UVî‘çÜ94 : { 0.077216, 0.637255 }
UVî‘çÜ95 : { 0.079247, 0.657018 }
UVî‘çÜ96 : { 0.160048, 0.657018 }
UVî‘çÜ97 : { 0.170604, 0.637255 }
UVî‘çÜ98 : { 0.171547, 0.657018 }
UVî‘çÜ99 : { 0.160048, 0.657018 }
UVî‘çÜ100 : { 0.159247, 0.637255 }
UVî‘çÜ101 : { 0.170604, 0.637255 }
UVî‘çÜ102 : { 0.086089, 0.637255 }
UVî‘çÜ103 : { 0.079247, 0.657018 }
UVî‘çÜ104 : { 0.077216, 0.637255 }
UVî‘çÜ105 : { 0.086089, 0.637255 }
UVî‘çÜ106 : { 0.087727, 0.657018 }
UVî‘çÜ107 : { 0.079247, 0.657018 }
UVî‘çÜ108 : { 0.027518, 0.65321 }
UVî‘çÜ109 : { 0.015464, 0.649403 }
UVî‘çÜ110 : { 0.023688, 0.643329 }
UVî‘çÜ111 : { 0.279562, 0.651935 }
UVî‘çÜ112 : { 0.269799, 0.657018 }
UVî‘çÜ113 : { 0.278275, 0.642054 }
UVî‘çÜ114 : { 0.278275, 0.642054 }
UVî‘çÜ115 : { 0.289324, 0.646853 }
UVî‘çÜ116 : { 0.279562, 0.651935 }
UVî‘çÜ117 : { 0.269799, 0.657018 }
UVî‘çÜ118 : { 0.267225, 0.637255 }
UVî‘çÜ119 : { 0.278275, 0.642054 }
UVî‘çÜ120 : { 0.260835, 0.657018 }
UVî‘çÜ121 : { 0.258581, 0.637255 }
UVî‘çÜ122 : { 0.269799, 0.657018 }
UVî‘çÜ123 : { 0.159247, 0.637255 }
UVî‘çÜ124 : { 0.149499, 0.657018 }
UVî‘çÜ125 : { 0.148838, 0.637255 }
UVî‘çÜ126 : { 0.159247, 0.637255 }
UVî‘çÜ127 : { 0.160048, 0.657018 }
UVî‘çÜ128 : { 0.149499, 0.657018 }
UVî‘çÜ129 : { 0.094982, 0.637255 }
UVî‘çÜ130 : { 0.087727, 0.657018 }
UVî‘çÜ131 : { 0.086089, 0.637255 }
UVî‘çÜ132 : { 0.094982, 0.637255 }
UVî‘çÜ133 : { 0.096234, 0.657018 }
UVî‘çÜ134 : { 0.087727, 0.657018 }
UVî‘çÜ135 : { 0.138429, 0.637255 }
UVî‘çÜ136 : { 0.149499, 0.657018 }
UVî‘çÜ137 : { 0.138949, 0.657018 }
UVî‘çÜ138 : { 0.138429, 0.637255 }
UVî‘çÜ139 : { 0.148838, 0.637255 }
UVî‘çÜ140 : { 0.149499, 0.657018 }
UVî‘çÜ141 : { 0.103876, 0.637255 }
